Date,Open,High,Low,Close,Adj Close,Volume
2020-03-27,17.090000,17.090000,16.469999,16.830000,16.294411,96800
2020-03-30,16.830000,17.200001,16.100000,16.840000,16.304092,86600
2020-03-31,17.080000,18.000000,16.389999,17.350000,16.797863,173900
2020-04-01,16.910000,17.389999,16.049999,17.389999,16.836588,162500
2020-04-02,17.520000,17.770000,16.900000,17.139999,16.594543,86000
2020-04-03,17.030001,17.139999,16.330000,17.000000,16.459000,98800
2020-04-06,17.010000,17.480000,17.010000,17.299999,16.749453,127300
2020-04-07,17.209999,18.350000,17.129999,17.129999,16.584862,207200
2020-04-08,16.690001,17.299999,16.680000,17.299999,16.749453,150900
2020-04-09,17.049999,17.450001,17.049999,17.450001,16.894680,126100
2020-04-13,17.000000,17.469999,16.940001,17.330000,16.778498,68800
2020-04-14,17.299999,18.000000,17.120001,17.230000,16.681681,161200
2020-04-15,17.000000,18.219999,16.760000,17.120001,16.575182,131800
2020-04-16,17.469999,17.840000,17.010000,17.250000,16.701044,76300
2020-04-17,17.590000,17.870001,17.430000,17.600000,17.039906,76700
2020-04-20,17.450001,18.129999,17.100000,18.129999,17.553040,110900
2020-04-22,17.969999,18.790001,17.969999,18.790001,18.192038,125400
2020-04-23,19.150000,19.170000,18.010000,18.950001,18.346945,179000
2020-04-24,18.790001,18.790001,17.770000,18.790001,18.192038,272900
2020-04-27,19.040001,20.000000,18.799999,19.230000,18.618032,218000
2020-04-28,19.840000,20.900000,19.750000,20.389999,19.741117,214400
2020-04-29,20.620001,20.940001,20.000000,20.000000,19.363529,192300
2020-04-30,19.900000,20.559999,19.850000,20.500000,19.847618,155500
2020-05-04,20.850000,20.850000,20.100000,20.650000,19.992844,199700
2020-05-05,20.820000,20.900000,20.340000,20.900000,20.234888,123200
2020-05-06,20.980000,21.450001,20.459999,21.100000,20.428524,134400
2020-05-07,21.500000,22.660000,21.180000,21.469999,20.786749,195100
2020-05-08,21.500000,21.500000,19.360001,19.889999,19.257030,374000
2020-05-11,19.889999,20.840000,19.889999,20.700001,20.041254,273300
2020-05-12,20.799999,21.090000,20.010000,20.440001,19.789528,259400
2020-05-13,20.799999,20.799999,19.600000,20.100000,19.460348,145000
2020-05-14,20.100000,20.170000,19.110001,20.030001,19.392576,197100
2020-05-15,20.020000,20.590000,19.629999,20.459999,19.808889,127200
2020-05-18,20.530001,20.950001,20.040001,20.049999,19.411938,217700
2020-05-19,20.070000,20.290001,19.559999,19.559999,18.937532,139000
2020-05-20,19.559999,20.950001,19.230000,20.940001,20.273617,222500
2020-05-21,20.950001,21.200001,19.820000,19.820000,19.189257,220400
2020-05-22,19.650000,20.040001,19.500000,19.590000,18.966578,134100
2020-05-25,20.150000,20.280001,19.299999,19.860001,19.227985,189800
2020-05-26,20.049999,20.190001,19.559999,20.080000,19.440983,208100
2020-05-27,20.100000,20.690001,19.930000,20.010000,19.373211,186600
2020-05-28,20.129999,20.530001,20.080000,20.469999,19.818571,82600
2020-05-29,20.320000,20.400000,19.830000,19.900000,19.266712,74500
2020-06-01,19.690001,20.350000,19.520000,20.000000,19.363529,174600
2020-06-02,20.040001,20.299999,19.840000,20.000000,19.363529,107600
2020-06-03,20.100000,20.350000,19.850000,20.049999,19.411938,133100
2020-06-04,19.990000,20.340000,19.860001,20.340000,19.692709,169700
2020-06-05,20.650000,20.650000,19.920000,20.040001,19.402258,215300
2020-06-08,20.080000,20.240000,19.870001,19.980000,19.344166,157000
2020-06-09,20.020000,20.040001,19.459999,20.000000,19.363529,229900
2020-06-10,20.010000,20.400000,19.450001,19.500000,18.879442,182700
2020-06-12,19.150000,19.389999,18.559999,19.389999,18.772942,153500
2020-06-15,19.320000,20.100000,18.820000,19.950001,19.315121,164700
2020-06-16,20.040001,20.190001,19.690001,19.690001,19.063395,107100
2020-06-17,19.809999,20.080000,19.610001,19.730000,19.102121,100800
2020-06-18,19.760000,19.900000,19.549999,19.790001,19.160213,109500
2020-06-19,19.790001,19.990000,19.350000,19.350000,18.734215,105600
2020-06-22,19.450001,19.799999,19.260000,19.260000,18.647079,86100
2020-06-23,19.400000,19.700001,19.110001,19.110001,18.501854,76800
2020-06-24,19.090000,19.580000,18.879999,19.580000,18.956896,134900
2020-06-25,19.580000,20.000000,19.320000,20.000000,19.363529,105000
2020-06-26,20.049999,20.049999,19.740000,20.000000,19.363529,162900
2020-06-29,20.299999,20.850000,20.299999,20.850000,20.186480,337700
2020-06-30,20.879999,20.990000,20.600000,20.959999,20.292978,168900
2020-07-01,20.990000,23.280001,20.959999,22.150000,21.445108,746300
2020-07-02,22.320000,23.350000,22.190001,22.190001,21.483837,223900
2020-07-03,22.370001,22.820000,21.830000,22.209999,21.503199,152500
2020-07-06,23.000000,23.000000,22.059999,22.059999,21.357973,160600
2020-07-07,22.389999,22.389999,21.900000,21.900000,21.203064,122600
2020-07-08,22.100000,22.270000,21.549999,21.549999,20.864202,112600
2020-07-09,21.799999,22.219999,21.620001,22.219999,21.512880,133500
2020-07-10,22.270000,23.290001,22.129999,22.129999,21.425745,361400
2020-07-13,22.200001,22.510000,21.730000,21.730000,21.038475,179000
2020-07-14,22.100000,22.100000,21.549999,21.620001,20.931976,145100
2020-07-15,21.620001,21.700001,20.809999,21.500000,20.815794,269000
2020-07-16,21.620001,21.680000,21.120001,21.120001,20.447887,80400
2020-07-17,21.200001,21.490000,21.020000,21.070000,20.399479,138600
2020-07-20,21.219999,21.450001,21.100000,21.110001,20.438206,151900
2020-07-21,21.299999,21.379999,21.020000,21.320000,20.641521,168800
2020-07-22,21.360001,21.590000,21.059999,21.440001,20.757704,103800
2020-07-23,21.500000,21.580000,20.719999,21.389999,20.709295,154000
2020-07-24,21.190001,21.250000,20.500000,21.250000,20.573750,145500
2020-07-27,21.350000,21.969999,21.330000,21.799999,21.106247,183300
2020-07-28,21.900000,21.969999,21.610001,21.940001,21.241793,105000
2020-07-29,21.969999,21.969999,21.580000,21.580000,20.893248,79700
2020-07-30,21.469999,21.950001,21.260000,21.950001,21.251474,89000
2020-07-31,21.950001,21.950001,21.030001,21.030001,20.360752,172200
2020-08-03,21.260000,21.260000,20.799999,21.080000,20.409161,159900
2020-08-04,21.049999,21.049999,20.070000,20.360001,19.712074,241600
2020-08-05,20.360001,20.639999,20.020000,20.420000,19.770164,189200
2020-08-06,20.450001,20.700001,20.180000,20.299999,19.653982,150000
2020-08-07,20.180000,20.590000,20.020000,20.590000,19.934753,156700
2020-08-10,20.600000,20.600000,20.129999,20.139999,19.499073,109100
2020-08-11,20.299999,20.299999,20.059999,20.080000,19.440983,115000
2020-08-12,20.180000,20.290001,19.840000,20.209999,19.566845,119600
2020-08-13,20.150000,20.889999,20.070000,20.889999,20.225206,177600
2020-08-14,20.879999,20.879999,20.270000,20.270000,19.624937,125300
2020-08-17,20.200001,20.400000,19.350000,19.620001,18.995623,577100
2020-08-18,19.700001,20.270000,19.540001,20.200001,19.557165,340900
2020-08-19,20.010000,20.500000,19.990000,20.250000,19.605574,111900
2020-08-20,20.070000,20.450001,19.700001,20.400000,19.750799,116200
2020-08-21,20.299999,20.400000,20.030001,20.240000,19.595892,103400
2020-08-24,20.490000,20.730000,20.250000,20.600000,19.944435,163100
2020-08-25,20.670000,21.270000,20.650000,21.200001,20.525343,180200
2020-08-26,21.209999,21.209999,20.559999,21.000000,20.331707,133600
2020-08-27,21.080000,21.350000,20.750000,21.090000,20.418842,150700
2020-08-28,21.389999,21.389999,20.590000,20.920000,20.254251,203700
2020-08-31,20.850000,21.180000,20.700001,20.709999,20.050934,129700
2020-09-01,21.000000,21.180000,20.840000,21.180000,20.505978,144300
2020-09-02,21.200001,21.770000,21.030001,21.450001,20.767385,250400
2020-09-03,21.450001,21.700001,21.129999,21.340000,20.660887,150400
2020-09-04,21.350000,21.370001,20.889999,21.010000,20.341389,142800
2020-09-08,21.000000,21.299999,20.780001,21.020000,20.351070,101300
2020-09-09,21.020000,21.250000,21.000000,21.070000,20.399479,113800
2020-09-10,21.170000,21.629999,21.110001,21.260000,20.583433,193900
2020-09-11,21.350000,21.500000,21.030001,21.370001,20.689932,162700
2020-09-14,21.440001,22.170000,21.320000,22.020000,21.319246,282100
2020-09-15,22.139999,22.379999,21.820000,22.240000,21.532246,204000
2020-09-16,22.280001,22.650000,22.240000,22.530001,21.813017,167700
2020-09-17,22.400000,22.490000,22.139999,22.290001,21.580654,70500
2020-09-18,22.340000,22.450001,22.170000,22.250000,21.541927,103800
2020-09-21,22.000000,22.350000,21.700001,22.200001,21.493519,129600
2020-09-22,22.270000,22.330000,21.959999,22.120001,21.416065,61700
2020-09-23,22.299999,22.379999,21.700001,22.379999,21.667789,148600
2020-09-24,22.440001,22.559999,21.730000,21.920000,21.222429,208000
2020-09-25,21.920000,21.980000,21.540001,21.760000,21.067520,69200
2020-09-28,21.760000,21.950001,21.160000,21.440001,20.757704,134200
2020-09-29,21.299999,21.549999,21.010000,21.549999,20.864202,114800
2020-09-30,21.520000,21.719999,21.330000,21.700001,21.009430,103000
2020-10-01,21.719999,21.889999,21.180000,21.260000,20.583433,116200
2020-10-02,21.150000,21.780001,21.150000,21.770000,21.077202,125600
2020-10-05,21.700001,22.110001,21.700001,21.860001,21.164339,137700
2020-10-06,22.110001,22.440001,21.809999,22.030001,21.328928,102600
2020-10-07,22.030001,22.180000,21.809999,22.120001,21.416065,72100
2020-10-08,22.180000,22.350000,22.040001,22.350000,21.638744,77800
2020-10-09,22.350000,22.379999,22.200001,22.219999,21.512880,84700
2020-10-13,22.219999,22.389999,21.750000,21.750000,21.057838,126900
2020-10-14,21.799999,22.500000,21.799999,22.500000,21.783972,171400
2020-10-15,22.490000,22.500000,22.049999,22.299999,21.590334,91800
2020-10-16,22.299999,22.389999,22.110001,22.299999,21.590334,75300
2020-10-19,21.500000,21.969999,21.309999,21.879999,21.879999,151800
2020-10-20,21.860001,22.170000,21.660000,21.990000,21.990000,192300
2020-10-21,21.959999,22.639999,21.850000,22.639999,22.639999,156700
2020-10-22,22.680000,22.980000,22.320000,22.870001,22.870001,340400
2020-10-23,22.780001,22.910000,22.420000,22.490000,22.490000,72000
2020-10-26,22.260000,22.520000,22.080000,22.430000,22.430000,84600
2020-10-27,22.430000,22.799999,22.299999,22.559999,22.559999,96800
2020-10-28,22.480000,22.500000,21.650000,22.100000,22.100000,188100
2020-10-29,21.980000,22.190001,21.850000,21.950001,21.950001,145500
2020-10-30,21.959999,22.010000,21.730000,21.850000,21.850000,299800
2020-11-03,22.000000,22.740000,21.500000,21.500000,21.500000,182100
2020-11-04,21.760000,21.959999,21.469999,21.809999,21.809999,107900
2020-11-05,21.980000,22.590000,21.930000,21.930000,21.930000,212300
2020-11-06,21.820000,22.350000,21.620001,22.250000,22.250000,106100
2020-11-09,22.500000,23.059999,22.250000,23.059999,23.059999,257500
2020-11-10,22.990000,24.150000,22.790001,24.150000,24.150000,392700
2020-11-11,24.230000,24.830000,23.610001,24.660000,24.660000,246100
2020-11-12,24.700001,24.950001,23.670000,23.670000,23.670000,244900
2020-11-13,23.660000,24.980000,23.440001,24.809999,24.809999,244400
2020-11-16,25.040001,25.500000,24.500000,24.570000,24.570000,255100
2020-11-17,24.570000,25.200001,24.330000,24.510000,24.510000,235100
2020-11-18,24.610001,26.219999,24.610001,25.750000,25.750000,406400
2020-11-19,25.860001,27.070000,25.430000,26.129999,26.129999,528400
2020-11-23,26.000000,26.680000,25.990000,26.549999,26.549999,182700
2020-11-24,26.549999,26.549999,26.010000,26.170000,26.170000,142700
2020-11-25,26.370001,26.600000,25.850000,26.410000,26.410000,130700
2020-11-26,26.510000,26.510000,25.900000,25.900000,25.900000,65800
2020-11-27,26.010000,26.820000,26.010000,26.580000,26.580000,197100
2020-11-30,26.799999,27.709999,26.570000,27.219999,27.219999,356800
2020-12-01,27.200001,27.920000,26.920000,26.920000,26.920000,464800
2020-12-02,26.930000,27.090000,26.400000,26.580000,26.580000,199700
2020-12-03,26.559999,26.969999,26.469999,26.469999,26.469999,140300
2020-12-04,26.469999,26.780001,26.030001,26.100000,26.100000,111400
2020-12-07,26.129999,26.530001,25.400000,26.040001,26.040001,269300
2020-12-08,26.150000,26.500000,25.969999,26.500000,26.500000,130800
2020-12-09,26.520000,27.150000,26.049999,26.070000,26.070000,163000
2020-12-10,26.120001,26.120001,24.740000,24.740000,24.740000,250900
2020-12-11,24.889999,25.440001,24.709999,25.080000,25.080000,172500
2020-12-14,25.510000,26.090000,25.389999,26.049999,26.049999,197700
2020-12-15,26.049999,26.330000,25.809999,26.110001,26.110001,159300
2020-12-16,26.360001,26.420000,25.950001,26.000000,26.000000,119300
2020-12-17,26.309999,26.330000,25.820000,26.020000,26.020000,170600
2020-12-18,26.020000,26.150000,25.889999,26.020000,26.020000,53900
2020-12-21,25.860001,25.860001,24.500000,25.350000,25.350000,136400
2020-12-22,25.490000,26.080000,25.320000,25.690001,25.690001,105300
2020-12-23,25.690001,26.150000,25.000000,25.000000,25.000000,98000
2020-12-28,25.090000,25.680000,25.090000,25.260000,25.260000,141600
2020-12-29,25.510000,25.559999,25.100000,25.180000,25.180000,107800
2020-12-30,25.200001,25.629999,25.000000,25.000000,25.000000,106200
2021-01-04,25.030001,25.750000,25.000000,25.000000,25.000000,165600
